Id,edad,genero,año,dispositivos_disponibles,tipo_conexion,calidad_internet,uso_plataforma_educativa,uso_db_academica,uso_software_analisis,uso_herramientas_colaboracion,uso_sm_educativa,uso_tiempo_tic,comp_busqueda,comp_data,comp_analisis,comp_presentacion,comp_programacion
10R,24,Masculino,4°,2,Fibra óptica,4,5,4,4,4,4,320,4,4,4,4,4
11R,24,Masculino,4°,1,Fibra óptica,3,3,3,2,4,4,100,3,4,2,3,2
12R,21,Masculino,4°,1,4G/5G,1,4,2,1,4,5,80,2,3,1,3,1
13R,21,Masculino,4°,2,4G/5G,3,1,3,3,3,1,70,2,3,3,2,3
14A,22,Masculino,3°,2,4G/5G,3,2,2,4,4,3,230,3,4,2,4,1
15A,17,Masculino,2°,1,4G/5G,4,2,1,2,3,3,200,3,3,4,3,2
16A,25,Masculino,4°,2,4G/5G,4,3,4,3,4,2,320,2,4,4,3,2
17A,18,Masculino,2°,1,4G/5G,3,3,3,3,3,3,230,2,2,2,2,2
18A,20,Femenino,3°,2,4G/5G,4,3,3,3,5,4,300,3,4,4,5,3
19A,19,Femenino,3°,4,4G/5G,4,2,2,2,2,3,370,4,4,3,5,2
1R,22,Masculino,5°,2,Wi-fi Antena,3,4,2,3,4,2,240,3,3,3,3,1
20A,21,Masculino,3°,2,Cable,4,4,2,4,5,5,100,4,5,4,3,3
21A,19,Femenino,3°,4,4G/5G,4,2,2,3,4,5,220,2,3,3,3,2
22A,19,Femenino,2°,1,Cable,4,3,2,1,3,3,50,3,3,1,3,1
23A,19,Femenino,2°,1,Cable,3,3,3,3,4,3,200,4,3,2,3,3
24A,20,Masculino,4°,3,Fibra óptica,4,2,4,3,3,4,400,4,4,3,4,4
25A,22,Femenino,4°,1,4G/5G,3,3,3,2,3,3,380,3,3,3,3,3
26D,21,Femenino,4°,2,Fibra óptica,3,3,2,1,5,5,100,3,4,2,5,1
27D,21,Femenino,4°,3,4G/5G,3,4,4,4,5,5,180,3,3,2,3,3
28D,22,Femenino,4°,3,Fibra óptica,4,3,3,3,3,3,220,3,3,3,3,3
29D,20,Femenino,4°,4,Fibra óptica,4,5,5,4,4,3,310,5,5,4,4,4
2R,45,Femenino,5°,3,Fibra óptica,5,5,5,5,5,5,200,4,4,4,4,2
30D,21,Femenino,4°,3,Fibra óptica,5,3,3,4,3,4,80,3,4,3,5,4
31D,20,Femenino,3°,2,Cable,4,3,3,3,5,5,250,4,5,4,5,4
32D,22,Masculino,3°,2,Fibra óptica,3,4,3,5,4,5,220,3,5,3,3,2
33D,21,Masculino,4°,2,4G/5G,1,2,1,3,4,3,70,3,2,1,2,1
34D,22,Masculino,3°,2,Cable,4,1,2,2,1,2,180,2,3,4,2,4
35D,20,Masculino,3°,2,Fibra óptica,4,3,3,3,4,3,30,3,4,4,3,3
36D,24,Masculino,3°,1,Ninguna,3,2,2,3,3,4,70,3,3,2,3,2
37D,22,Masculino,2°,2,4G/5G,3,1,2,1,3,3,90,4,4,3,3,1
38T,18,Masculino,1°,4,Fibra óptica,4,2,3,2,4,5,100,4,3,4,4,2
39T,18,Femenino,1°,2,4G/5G,4,3,2,2,5,3,80,3,3,1,3,2
3R,29,Femenino,5°,2,Fibra óptica,5,1,3,5,3,4,30,4,4,3,4,5
40T,19,Femenino,1°,2,4G/5G,3,3,3,3,3,3,380,3,3,3,3,3
41T,21,Masculino,1°,1,Fibra óptica,4,3,3,3,3,3,40,5,3,2,3,4
42T,19,Masculino,1°,2,4G/5G,4,5,3,3,4,5,100,3,3,2,3,2
43T,22,Masculino,1°,3,Fibra óptica,5,1,3,3,5,4,50,3,2,2,4,2
44T,20,Masculino,1°,3,Fibra óptica,4,4,2,1,4,3,40,3,2,1,4,2
45T,21,Femenino,1°,3,Fibra óptica,5,1,1,2,5,3,340,3,2,1,5,1
46T,17,Femenino,1°,4,Fibra óptica,4,3,4,4,4,3,100,3,3,3,4,4
47T,17,Masculino,1°,2,Fibra óptica,4,1,2,2,3,3,90,3,2,2,2,2
