25-30;3;1100 o menos ;0-50;500-550;300-350;100-150;100-150;100-150;100-200;BCP
25-30;5;1500-1700;0-50;500-550;300-350;100-150;100-150;100-150;100-200;BCP
25-30;3;1100-1300;0-50;400-450;350-400;250-300;100-150;100-150;100-200;BCP
45-50;3;1300-1500;100-150;400-450;300-350;100-150;150-200;150-200;100-200;BCP
25-30;4;1500-1700;50-100;400-450;300-350;200-250;150-200;150-200;100-200;BCP
25-30;3;1500-1700;0-50;400-450;350-400;250-300;200-250;150-200;200-300;INTERBANK
25-30;5;1100 o menos ;50-100;400-450;300-350;200-250;300 o mas ;100-150;100-200;BCP
25-30;3;1500-1700;150-200;400-450;350-400;150-200;100-150;100-150;100-200;BCP
25-30;4;1100 o menos ;0-50;400-450;300-350;250-300;150-200;250-300;100-200;BCP
25-30;3;1100 o menos ;0-50;500-550;350-400;100-150;150-200;100-150;100-200;BCP
30-35;3;1100 o menos ;0-50;400-450;350-400;100-150;100-150;100-150;100-200;BANCO DE LA NACION 
25-30;4;1300-1500;150-200;400-450;300-350;200-250;150-200;200-250;200-300;INTERBANK
30-35;3;1100 o menos ;100-150;450-500;300-350;100-150;250-300;250-300;200-300;BCP
25-30;5;1300-1500;150-200;400-450;300-350;100-150;150-200;100-150;100-200;BCP
25-30;4;1300-1500;100-150;500-550;300-350;250-300;300 o mas ;100-150;100-200;BCP
35-40;3;1500-1700;50-100;400-450;300-350;100-150;100-150;300 a mas ;100-200;BCP
30-35;5;1100 o menos ;150-200;450-500;350-400;250-300;100-150;150-200;100-200;BCP
40-45;4;1100 o menos ;0-50;400-450;400-450;200-250;100-150;300 a mas ;100-200;BANCO DE LA NACION 
30-35;5;1700 0 mas ;100-150;500-550;300-350;200-250;150-200;100-150;100-200;BCP
30-35;5;1100 o menos ;0-50;400-450;300-350;200-250;100-150;100-150;100-200;BANCO DE LA NACION 
30-35;4;1100-1300;100-150;450-500;300-350;150-200;250-300;150-200;200-300;BCP
30-35;3;1100 o menos ;0-50;600 o mas ;300-350;150-200;150-200;250-300;400-500;INTERBANK
25-30;5;1500-1700;0-50;500-550;350-400;250-300;150-200;100-150;100-200;BCP
40-45;3;1100 o menos ;0-50;400-450;350-400;100-150;100-150;100-150;100-200;BCP
25-30;5;1100-1300;0-50;550-600;350-400;100-150;100-150;100-150;100-200;BCP
35-40;5;1500-1700;100-150;600 o mas ;350-400;200-250;200-250;200-250;200-300;INTERBANK
